date,open,high,low,close,volume,dividends,stock_splits
2020-01-02,129.13,129.61,127.77,129.57,4614000,0.0,0.0
2020-01-03,127.46,129.25,127.23,127.85,4057200,0.0,0.0
2020-01-06,127.06,127.33,125.9,126.96,4345400,0.0,0.0
2020-01-07,129.15,130.9,128.42,129.41,7184100,0.0,0.0
2020-01-08,129.34,130.57,129.06,129.76,3546900,0.0,0.0
2020-01-09,130.7,131.74,130.24,131.33,3526600,0.0,0.0
2020-01-10,131.81,131.81,129.82,130.0,3234000,0.0,0.0
2020-01-13,130.57,130.74,129.77,129.95,4313200,0.0,0.0
2020-01-14,129.95,131.86,129.83,130.67,4626200,0.0,0.0
2020-01-15,130.43,130.43,128.86,129.17,3392300,0.0,0.0
2020-01-16,130.0,130.23,129.35,130.16,5475900,0.0,0.0
2020-01-17,130.76,132.04,130.44,131.7,5487100,0.0,0.0
2020-01-21,131.09,132.19,130.58,130.86,8631500,0.0,0.0
2020-01-22,132.02,135.7,131.82,133.34,8899700,0.0,0.0
2020-01-23,131.42,134.41,129.65,134.25,8598700,0.0,0.0
2020-01-24,134.8,135.44,129.75,130.52,5606800,0.0,0.0
2020-01-27,128.65,129.25,126.24,126.31,5890900,0.0,0.0
2020-01-28,127.15,128.31,126.76,128.04,4397500,0.0,0.0
2020-01-29,127.55,128.51,125.44,125.49,4535000,0.0,0.0
2020-01-30,123.22,124.67,122.22,124.42,5521300,0.9,0.0
2020-01-31,123.36,123.64,119.96,120.65,5782500,0.0,0.0
2020-02-03,121.06,123.68,121.06,123.4,5396400,0.0,0.0
2020-02-04,126.0,127.32,125.36,126.47,4434700,0.0,0.0
2020-02-05,128.66,132.91,128.66,132.44,7281800,0.0,0.0
2020-02-06,133.0,133.0,131.48,132.52,3686600,0.0,0.0
2020-02-07,131.25,131.25,128.51,128.7,4331700,0.0,0.0
2020-02-10,127.55,129.7,127.3,129.65,2882500,0.0,0.0
2020-02-11,130.47,131.98,130.13,130.7,2986800,0.0,0.0
2020-02-12,131.65,132.94,131.64,132.42,2839100,0.0,0.0
2020-02-13,131.88,133.39,131.16,132.81,4268700,0.0,0.0
2020-02-14,133.48,133.62,131.27,132.21,2605200,0.0,0.0
2020-02-18,131.1,131.78,130.59,131.24,3094400,0.0,0.0
2020-02-19,132.9,134.3,132.21,133.13,3931600,0.0,0.0
2020-02-20,132.61,133.26,130.34,131.47,2487800,0.0,0.0
2020-02-21,130.76,130.83,127.96,128.52,4121000,0.0,0.0
2020-02-24,124.01,125.26,121.25,121.44,7483800,0.0,0.0
2020-02-25,122.9,123.03,118.02,118.38,6347200,0.0,0.0
2020-02-26,119.29,120.64,117.63,118.79,5778000,0.0,0.0
2020-02-27,116.35,118.49,113.07,113.13,8687300,0.0,0.0
2020-02-28,109.45,116.12,108.61,114.14,11431100,0.0,0.0
2020-03-02,115.16,119.07,113.32,118.97,7207500,0.0,0.0
2020-03-03,118.38,120.12,112.21,113.81,9217300,0.0,0.0
2020-03-04,115.77,119.09,114.34,119.05,5556500,0.0,0.0
2020-03-05,115.17,117.21,113.71,114.72,6162300,0.0,0.0
2020-03-06,111.09,113.87,110.14,113.16,6386200,0.0,0.0
2020-03-09,105.11,110.08,104.42,105.04,8454600,0.0,0.0
2020-03-10,108.83,112.14,104.75,112.12,9206200,0.0,0.0
2020-03-11,109.54,111.44,105.79,106.5,9636500,0.0,0.0
2020-03-12,99.42,104.73,96.55,97.53,15158500,0.0,0.0
2020-03-13,103.31,107.47,98.46,106.04,16040100,0.0,0.0
2020-03-16,95.88,104.5,93.09,93.5,12389200,0.0,0.0
2020-03-17,96.03,107.64,95.11,106.15,16243500,0.0,0.0
2020-03-18,100.05,105.82,94.15,100.0,16413900,0.0,0.0
2020-03-19,99.39,105.0,97.12,101.57,9298500,0.0,0.0
2020-03-20,104.5,105.5,97.1,97.6,10253200,0.0,0.0
2020-03-23,97.35,101.96,94.92,98.44,9680700,0.0,0.0
2020-03-24,102.15,105.68,99.46,105.36,9385700,0.0,0.0
2020-03-25,104.33,105.83,98.51,99.16,11862100,0.0,0.0
2020-03-26,99.4,108.84,99.01,107.76,10441400,0.0,0.0
2020-03-27,104.0,105.0,100.07,100.5,7579200,0.0,0.0
2020-03-30,100.4,103.44,100.3,102.02,6950800,0.0,0.0
2020-03-31,102.02,103.19,99.48,99.93,8968000,0.0,0.0
2020-04-01,96.1,100.37,96.07,96.89,8229700,0.0,0.0
2020-04-02,96.26,102.22,96.1,102.02,8353400,0.0,0.0
2020-04-03,102.44,103.64,98.85,99.98,6587300,0.0,0.0
2020-04-06,104.58,109.56,103.51,108.96,7189500,0.0,0.0
2020-04-07,111.69,112.93,105.83,106.26,7762200,0.0,0.0
2020-04-08,108.19,110.67,106.22,110.17,5426500,0.0,0.0
2020-04-09,111.0,112.21,107.08,107.69,5902300,0.0,0.0
2020-04-13,105.5,108.45,105.3,107.67,5209400,0.0,0.0
2020-04-14,109.52,111.43,108.97,110.95,8142400,0.0,0.0
2020-04-15,109.08,109.14,106.76,107.98,5381300,0.0,0.0
2020-04-16,109.42,111.91,107.81,111.39,5777700,0.0,0.0
2020-04-17,111.61,114.06,110.73,113.55,6100000,0.0,0.0
2020-04-20,111.52,115.12,111.3,111.53,7957200,0.0,0.0
2020-04-21,110.2,110.75,106.5,106.84,8799800,0.0,0.0
2020-04-22,109.68,112.46,108.61,111.98,10961000,0.0,0.0
2020-04-23,111.74,113.9,110.18,110.46,5374000,0.0,0.0
2020-04-24,111.35,114.0,111.04,113.93,5570200,0.0,0.0
2020-04-27,114.0,116.24,113.02,115.78,4728000,0.0,0.0
2020-04-28,118.12,119.81,114.07,114.24,5762300,0.0,0.0
2020-04-29,115.93,119.68,115.87,119.4,4936900,0.0,0.0
2020-04-30,117.54,117.99,115.19,116.07,5781000,0.0,0.0
2020-05-01,112.38,113.25,109.45,109.71,5839800,0.9,0.0
2020-05-04,108.92,110.66,107.84,110.5,4987000,0.0,0.0
2020-05-05,111.5,113.19,110.8,111.54,5242400,0.0,0.0
2020-05-06,112.4,113.85,111.98,112.42,3701300,0.0,0.0
2020-05-07,113.89,114.93,112.62,113.65,3601300,0.0,0.0
2020-05-08,113.96,115.54,112.75,115.0,4331200,0.0,0.0
2020-05-11,113.41,115.77,113.41,114.88,2723600,0.0,0.0
2020-05-12,115.14,115.87,111.34,111.69,3547100,0.0,0.0
