date,open,high,low,close,volume,vwap,label,adj_close,unadjusted_volume,change,change_percent,change_over_time
2020-01-02,293.98,295.7,289.79,292.5,2543400,292.66,"January 02, 20",276.03,2543400.0,-1.48,-0.50344,-0.0050344
2020-01-03,287.27,291.88,284.36,289.54,2711400,288.59,"January 03, 20",273.24,2711400.0,2.27,0.7902,0.007902
2020-01-06,288.0,291.66,287.22,291.55,3079100,290.14,"January 06, 20",275.13,3079100.0,3.55,1.23,0.0123
2020-01-07,290.7,291.49,287.58,289.79,2492900,289.62,"January 07, 20",273.47,2492900.0,-0.91,-0.31304,-0.0031304
2020-01-08,291.5,297.38,290.04,295.9,3379200,294.44,"January 08, 20",279.24,3379200.0,4.4,1.51,0.0151
2020-01-09,294.29,297.2,293.72,294.22,2838200,295.05,"January 09, 20",277.65,2838200.0,-0.07,-0.02378606,-0.0002378606
2020-01-10,296.07,296.07,292.21,295.13,2477900,294.47,"January 10, 20",278.51,2477900.0,-0.94,-0.31749,-0.0031749
2020-01-13,294.37,294.45,285.02,285.85,6994900,288.44,"January 13, 20",269.75,6994900.0,-8.52,-2.89,-0.0289
2020-01-14,285.6,288.24,284.25,288.24,6056300,286.91,"January 14, 20",272.01,6056300.0,2.64,0.92437,0.0092437
2020-01-15,289.02,299.64,289.0,296.41,6081300,295.02,"January 15, 20",279.72,6081300.0,7.39,2.56,0.0256
2020-01-16,298.0,300.99,295.93,300.74,3710300,299.22,"January 16, 20",283.81,3710300.0,2.74,0.91946,0.0091946
2020-01-17,300.01,300.7,295.88,298.47,4632200,298.35,"January 17, 20",281.66,4632200.0,-1.54,-0.51332,-0.0051332
2020-01-21,296.89,302.54,296.01,300.53,4962800,299.69,"January 21, 20",283.61,4962800.0,3.64,1.23,0.0123
2020-01-22,301.99,302.13,297.35,300.59,3117600,300.02,"January 22, 20",283.66,3117600.0,-1.4,-0.46359,-0.0046359
2020-01-23,300.01,300.58,296.65,299.46,3169600,298.9,"January 23, 20",282.6,3169600.0,-0.55,-0.18333,-0.0018333
2020-01-24,298.34,299.93,291.56,292.81,3678500,294.77,"January 24, 20",276.32,3678500.0,-5.53,-1.85,-0.0185
2020-01-27,288.0,288.08,280.07,284.09,4399400,284.08,"January 27, 20",268.09,4399400.0,-3.91,-1.36,-0.0136
2020-01-28,283.91,288.37,283.3,285.87,4341000,285.85,"January 28, 20",269.77,4341000.0,1.96,0.69036,0.0069036
2020-01-29,284.0,286.19,280.89,282.9,3963800,283.33,"January 29, 20",266.97,3963800.0,-1.1,-0.38732,-0.0038732
2020-01-30,281.84,281.84,275.92,280.98,4211800,279.58,"January 30, 20",265.16,4211800.0,-0.86,-0.30514,-0.0030514
2020-01-31,278.17,278.78,271.18,272.45,5532600,274.14,"January 31, 20",257.11,5532600.0,-5.72,-2.06,-0.0206
2020-02-03,275.13,276.85,270.82,274.02,5646800,273.9,"February 03, 20",258.59,5646800.0,-1.11,-0.40345,-0.0040345
2020-02-04,277.28,283.5,276.88,280.84,4290200,280.41,"February 04, 20",265.03,4290200.0,3.56,1.28,0.0128
2020-02-05,285.6,297.0,285.44,295.73,5761000,292.72,"February 05, 20",279.08,5761000.0,10.13,3.55,0.0355
2020-02-06,297.0,297.27,290.0,292.46,3044000,293.24,"February 06, 20",275.99,3044000.0,-4.54,-1.53,-0.0153
2020-02-07,292.87,293.39,288.91,289.22,3425900,290.51,"February 07, 20",272.93,3425900.0,-3.65,-1.25,-0.0125
2020-02-10,286.23,289.29,285.45,287.03,3147400,287.26,"February 10, 20",270.87,3147400.0,0.8,0.2795,0.002795
2020-02-11,286.85,291.57,285.9,290.79,2992200,289.42,"February 11, 20",274.42,2992200.0,3.94,1.37,0.0137
2020-02-12,295.0,305.0,294.01,303.48,6701900,300.83,"February 12, 20",286.39,6701900.0,8.48,2.87,0.0287
2020-02-13,300.14,305.9,300.14,302.2,3565500,302.75,"February 13, 20",285.18,3565500.0,2.06,0.68635,0.0068635
2020-02-14,302.21,303.97,297.31,298.78,2485600,300.02,"February 14, 20",281.96,2485600.0,-3.43,-1.13,-0.0113
2020-02-18,299.67,303.35,299.0,302.14,3241700,301.5,"February 18, 20",285.13,3241700.0,2.47,0.82424,0.0082424
2020-02-19,303.37,306.71,302.73,305.31,3021100,304.92,"February 19, 20",288.12,3021100.0,1.94,0.63948,0.0063948
2020-02-20,303.2,304.16,297.89,302.13,2885500,301.39,"February 20, 20",285.12,2885500.0,-1.07,-0.3529,-0.003529
2020-02-21,300.47,302.51,298.61,301.43,2987100,300.85,"February 21, 20",284.46,2987100.0,0.96,0.3195,0.003195
2020-02-24,286.89,288.99,277.64,277.79,8790600,281.47,"February 24, 20",262.15,8790600.0,-9.1,-3.17,-0.0317
2020-02-25,280.15,281.98,262.01,263.39,8171200,269.13,"February 25, 20",248.56,8171200.0,-16.76,-5.98,-0.0598
2020-02-26,264.72,269.83,258.71,263.0,6806600,263.85,"February 26, 20",248.19,6806600.0,-1.72,-0.64974,-0.0064974
2020-02-27,258.42,262.15,252.07,253.92,7604300,256.05,"February 27, 20",239.62,7604300.0,-4.5,-1.74,-0.0174
2020-02-28,246.2,257.1,245.3,254.96,9961000,252.45,"February 28, 20",240.6,9961000.0,8.76,3.56,0.0356
2020-03-02,257.34,273.24,250.32,273.11,8866300,265.56,"March 02, 20",257.73,8866300.0,15.77,6.13,0.0613
2020-03-03,275.35,280.35,259.23,261.4,9188100,266.99,"March 03, 20",246.68,9188100.0,-13.95,-5.07,-0.0507
2020-03-04,290.0,295.84,282.21,289.42,14533000,289.16,"March 04, 20",273.12,14533000.0,-0.58,-0.2,-0.002
2020-03-05,281.6,289.42,279.94,282.96,5908400,284.11,"March 05, 20",267.03,5908400.0,1.36,0.48295,0.0048295
2020-03-06,275.42,284.97,271.9,283.87,5361900,280.25,"March 06, 20",267.89,5361900.0,8.45,3.07,0.0307
2020-03-09,264.46,281.44,259.24,273.44,8070700,271.37,"March 09, 20",258.04,8070700.0,8.98,3.4,0.034
2020-03-10,279.72,283.9,272.5,280.0,7366000,278.8,"March 10, 20",264.23,7366000.0,0.28,0.1001,0.001001
2020-03-11,274.76,285.24,273.26,277.78,7744600,278.76,"March 11, 20",262.14,7744600.0,3.02,1.1,0.011
2020-03-12,260.0,272.23,250.0,250.41,10496600,257.55,"March 12, 20",236.31,10496600.0,-9.59,-3.69,-0.0369
2020-03-13,260.99,273.22,242.27,272.04,9308400,262.51,"March 13, 20",257.83,9308400.0,11.05,4.23,0.0423
2020-03-16,243.92,245.68,223.95,225.04,10303500,231.56,"March 16, 20",213.29,10303500.0,-18.88,-7.74,-0.0774
2020-03-17,230.82,248.76,228.29,244.22,9642200,240.42,"March 17, 20",231.47,9642200.0,13.4,5.81,0.0581
2020-03-18,225.75,231.45,200.19,217.06,12917500,216.23,"March 18, 20",205.73,12917500.0,-8.69,-3.85,-0.0385
2020-03-19,216.98,226.12,208.94,219.8,8065200,218.29,"March 19, 20",208.32,8065200.0,2.82,1.3,0.013
2020-03-20,223.18,232.64,203.46,206.59,9364100,214.23,"March 20, 20",195.8,9364100.0,-16.59,-7.43,-0.0743
2020-03-23,202.04,205.75,187.72,194.86,10654500,196.11,"March 23, 20",184.68,10654500.0,-7.18,-3.55,-0.0355
2020-03-24,202.14,220.27,199.0,219.8,8894400,213.02,"March 24, 20",208.32,8894400.0,17.66,8.74,0.0874
2020-03-25,219.09,247.51,216.0,234.49,10014000,232.67,"March 25, 20",222.25,10014000.0,15.4,7.03,0.0703
2020-03-26,234.03,257.96,232.3,255.39,7517600,248.55,"March 26, 20",242.05,7517600.0,21.36,9.13,0.0913
2020-03-27,242.94,251.6,238.24,242.45,4879500,244.1,"March 27, 20",229.79,4879500.0,-0.49,-0.2017,-0.002017
2020-03-30,242.64,254.09,242.64,251.28,5329000,249.34,"March 30, 20",238.16,5329000.0,8.64,3.56,0.0356
2020-03-31,243.48,254.53,243.0,249.38,5450000,248.97,"March 31, 20",236.36,5450000.0,5.9,2.42,0.0242
2020-04-01,238.69,246.61,235.44,237.32,4548800,239.79,"April 01, 20",224.93,4548800.0,-1.37,-0.57397,-0.0057397
2020-04-02,235.3,242.0,226.03,240.44,4636800,236.16,"April 02, 20",227.88,4636800.0,5.14,2.18,0.0218
2020-04-03,238.32,239.34,227.27,229.49,4650300,232.03,"April 03, 20",217.51,4650300.0,-8.83,-3.71,-0.0371
2020-04-06,240.0,249.29,235.12,248.34,6365900,244.25,"April 06, 20",235.37,6365900.0,8.34,3.48,0.0348
2020-04-07,259.81,266.71,246.54,248.04,4984100,253.76,"April 07, 20",235.09,4984100.0,-11.77,-4.53,-0.0453
2020-04-08,247.69,269.16,246.26,267.83,6390200,261.08,"April 08, 20",253.84,6390200.0,20.14,8.13,0.0813
2020-04-09,265.0,270.4,261.6,264.13,4923300,265.38,"April 09, 20",250.34,4923300.0,-0.87,-0.3283,-0.003283
2020-04-13,262.06,264.96,258.18,263.51,2964900,262.22,"April 13, 20",249.75,2964900.0,1.45,0.55331,0.0055331
2020-04-14,269.0,273.07,267.0,270.5,4778900,270.19,"April 14, 20",256.37,4778900.0,1.5,0.55762,0.0055762
2020-04-15,276.33,282.99,270.68,281.68,7841800,278.45,"April 15, 20",266.97,7841800.0,5.35,1.94,0.0194
2020-04-16,283.44,300.0,280.01,298.43,7738900,292.81,"April 16, 20",282.85,7738900.0,14.99,5.29,0.0529
2020-04-17,300.99,304.0,287.1,290.56,5857500,293.89,"April 17, 20",275.39,5857500.0,-10.43,-3.47,-0.0347
2020-04-20,285.3,289.01,281.27,282.14,4072600,284.14,"April 20, 20",267.41,4072600.0,-3.16,-1.11,-0.0111
2020-04-21,274.95,280.0,273.25,274.19,3977500,275.81,"April 21, 20",259.87,3977500.0,-0.76,-0.27641,-0.0027641
2020-04-22,279.58,283.82,276.71,277.02,3663300,279.18,"April 22, 20",262.55,3663300.0,-2.56,-0.91566,-0.0091566
2020-04-23,279.06,288.46,278.54,285.33,4420500,284.11,"April 23, 20",270.43,4420500.0,6.27,2.25,0.0225
2020-04-24,287.29,291.9,284.0,291.29,3265000,289.06,"April 24, 20",276.08,3265000.0,4.0,1.39,0.0139
2020-04-27,293.21,296.86,290.63,293.98,3706200,293.82,"April 27, 20",278.63,3706200.0,0.77,0.26261,0.0026261
2020-04-28,298.0,298.25,285.62,288.36,3862900,290.74,"April 28, 20",273.3,3862900.0,-9.64,-3.23,-0.0323
2020-04-29,292.0,292.75,286.1,287.65,4258400,288.83,"April 29, 20",272.63,4258400.0,-4.35,-1.49,-0.0149
2020-04-30,286.65,295.0,285.52,292.47,7631700,291.0,"April 30, 20",277.2,7631700.0,5.82,2.03,0.0203
2020-05-01,288.39,289.0,279.6,284.51,3526100,284.37,"May 01, 20",269.65,3526100.0,-3.88,-1.35,-0.0135
2020-05-04,284.49,287.94,282.11,287.54,2894200,285.86,"May 04, 20",272.52,2894200.0,3.05,1.07,0.0107
2020-05-05,289.96,296.0,287.29,293.04,2501300,292.11,"May 05, 20",277.74,2501300.0,3.08,1.06,0.0106
2020-05-06,295.1,297.68,288.44,288.77,2579200,291.63,"May 06, 20",273.69,2579200.0,-6.33,-2.15,-0.0215
2020-05-07,291.06,292.29,284.52,285.0,3162300,287.27,"May 07, 20",270.12,3162300.0,-6.06,-2.08,-0.0208
2020-05-08,289.49,290.0,285.66,287.0,3200000,287.55,"May 08, 20",272.01,3200000.0,-2.49,-0.86013,-0.0086013
2020-05-11,285.56,290.1,285.26,288.69,3490700,288.02,"May 11, 20",273.61,3490700.0,3.13,1.1,0.011
2020-05-12,291.77,293.15,287.7,287.7,4214300,289.52,"May 12, 20",272.68,4214300.0,-4.07,-1.39,-0.0139
2020-05-13,284.49,286.4,275.56,278.0,5474100,279.99,"May 13, 20",263.48,5474100.0,-6.49,-2.28,-0.0228
2020-05-14,275.93,292.45,275.64,290.61,5704600,286.23,"May 14, 20",275.43,5704600.0,14.68,5.32,0.0532
2020-05-15,292.41,300.0,290.72,290.96,12182800,293.89,"May 15, 20",275.77,12182800.0,-1.45,-0.49588,-0.0049588
2020-05-18,298.48,299.72,292.02,293.36,4015100,295.03,"May 18, 20",278.04,4015100.0,-5.12,-1.72,-0.0172
2020-05-19,290.74,294.63,288.88,289.05,3059400,290.85,"May 19, 20",273.96,3059400.0,-1.69,-0.58128,-0.0058128
2020-05-20,292.9,292.9,286.7,287.99,3200600,289.2,"May 20, 20",272.95,3200600.0,-4.91,-1.68,-0.0168
2020-05-21,286.04,290.13,284.93,286.91,3604900,287.32,"May 21, 20",271.93,3604900.0,0.87,0.30415,0.0030415
2020-05-22,287.3,290.24,284.79,289.94,2922800,288.32,"May 22, 20",274.8,2922800.0,2.64,0.9189,0.009189
2020-05-26,296.5,297.03,292.5,294.89,4567800,294.81,"May 26, 20",279.49,4567800.0,-1.61,-0.543,-0.00543
2020-05-27,297.42,303.8,290.8,303.77,5618900,299.46,"May 27, 20",287.91,5618900.0,6.35,2.14,0.0214
2020-05-28,305.95,309.66,303.29,303.97,4387700,305.64,"May 28, 20",288.1,4387700.0,-1.98,-0.64716,-0.0064716
2020-05-29,304.72,308.37,300.85,304.85,6251500,304.69,"May 29, 20",288.93,6251500.0,0.13,0.04266212,0.0004266212
2020-06-01,304.02,305.98,300.56,305.93,2894000,304.16,"June 01, 20",289.95,2894000.0,1.91,0.62825,0.0062825
2020-06-02,305.58,308.1,301.73,306.31,2756800,305.38,"June 02, 20",290.31,2756800.0,0.73,0.23889,0.0023889
2020-06-03,307.85,310.12,302.74,305.35,4360000,306.07,"June 03, 20",289.4,4360000.0,-2.5,-0.81208,-0.0081208
2020-06-04,303.18,304.47,294.29,298.08,4374300,298.95,"June 04, 20",282.51,4374300.0,-5.1,-1.68,-0.0168
2020-06-05,304.0,314.28,300.5,311.85,5554300,308.88,"June 05, 20",295.57,5554300.0,7.85,2.58,0.0258
2020-06-08,308.64,315.84,307.93,309.48,4635500,311.08,"June 08, 20",293.32,4635500.0,0.84,0.27216,0.0027216
2020-06-09,309.9,312.65,307.33,309.21,3061500,309.73,"June 09, 20",293.06,3061500.0,-0.69,-0.22265,-0.0022265
2020-06-10,308.94,310.31,302.86,305.75,3296100,306.31,"June 10, 20",289.78,3296100.0,-3.19,-1.03,-0.0103
2020-06-11,303.36,303.36,280.8,283.73,6638900,289.3,"June 11, 20",268.91,6638900.0,-19.63,-6.47,-0.0647
2020-06-12,290.65,294.1,278.7,285.15,5416800,285.98,"June 12, 20",270.26,5416800.0,-5.5,-1.89,-0.0189
2020-06-15,278.02,287.0,273.71,286.28,4494600,282.33,"June 15, 20",271.33,4494600.0,8.26,2.97,0.0297
2020-06-16,295.44,297.57,287.44,293.0,4245400,292.67,"June 16, 20",277.7,4245400.0,-2.44,-0.82589,-0.0082589
2020-06-17,295.1,295.1,291.23,292.6,2538000,292.98,"June 17, 20",277.32,2538000.0,-2.5,-0.84717,-0.0084717
2020-06-18,290.43,291.78,286.6,291.48,2926600,289.95,"June 18, 20",276.26,2926600.0,1.05,0.36153,0.0036153
2020-06-19,294.43,296.52,290.91,291.24,5172800,292.89,"June 19, 20",277.22,5172800.0,-3.19,-1.08,-0.0108
2020-06-22,289.79,293.0,286.26,292.67,2174100,290.64,"June 22, 20",278.58,2174100.0,2.88,0.99382,0.0099382
2020-06-23,294.01,299.28,291.07,297.6,4023400,295.98,"June 23, 20",283.27,4023400.0,3.59,1.22,0.0122
2020-06-24,293.99,297.1,285.57,289.18,3399900,290.62,"June 24, 20",275.26,3399900.0,-4.81,-1.64,-0.0164
2020-06-25,288.28,296.78,286.06,296.22,3112500,293.02,"June 25, 20",281.96,3112500.0,7.94,2.75,0.0275
2020-06-26,295.14,296.58,285.82,286.88,5043200,289.76,"June 26, 20",273.07,5043200.0,-8.26,-2.8,-0.028
2020-06-29,288.45,292.28,286.62,289.76,2356700,289.55,"June 29, 20",275.81,2356700.0,1.31,0.45415,0.0045415
2020-06-30,288.57,296.45,287.66,294.95,2932900,293.02,"June 30, 20",280.75,2932900.0,6.38,2.21,0.0221
2020-07-01,295.83,300.4,295.24,297.73,2303800,297.79,"July 01, 20",283.4,2303800.0,1.9,0.64226,0.0064226
2020-07-02,300.5,303.08,297.18,298.26,1971700,299.51,"July 02, 20",283.9,1971700.0,-2.24,-0.74542,-0.0074542
2020-07-06,303.0,303.49,299.33,302.81,2395000,301.88,"July 06, 20",288.23,2395000.0,-0.19,-0.06270627,-0.0006270627
2020-07-07,300.66,303.56,295.95,296.65,2075700,298.72,"July 07, 20",282.37,2075700.0,-4.01,-1.33,-0.0133
2020-07-08,297.35,300.87,295.68,298.36,1987400,298.3,"July 08, 20",284.0,1987400.0,1.01,0.33967,0.0033967
2020-07-09,295.1,298.55,287.5,291.16,3061700,292.4,"July 09, 20",277.14,3061700.0,-3.94,-1.34,-0.0134
2020-07-10,294.24,294.24,287.1,291.23,2391600,290.86,"July 10, 20",277.21,2391600.0,-3.01,-1.02,-0.0102
2020-07-13,292.09,304.52,291.77,299.71,4263300,298.67,"July 13, 20",285.28,4263300.0,7.62,2.61,0.0261
2020-07-14,297.81,309.74,296.71,308.52,4234900,304.99,"July 14, 20",293.67,4234900.0,10.71,3.6,0.036
2020-07-15,301.12,310.69,298.66,304.07,5116900,304.47,"July 15, 20",289.43,5116900.0,2.95,0.97968,0.0097968
2020-07-16,305.01,310.85,303.16,307.15,3844500,307.05,"July 16, 20",292.36,3844500.0,2.14,0.70162,0.0070162
2020-07-17,309.09,310.97,306.25,306.53,3016500,307.92,"July 17, 20",291.77,3016500.0,-2.56,-0.82824,-0.0082824
