date,open,high,low,close,volume,vwap,label,adj_close,unadjusted_volume,change,change_percent,change_over_time
2020-01-02,189.0,191.14,188.72,191.12,8733000,190.33,"January 02, 20",185.55,8733000.0,2.12,1.12,0.0112
2020-01-03,188.41,190.96,187.92,189.6,4899700,189.49,"January 03, 20",184.08,4899700.0,1.19,0.6316,0.006316
2020-01-06,188.0,189.21,187.16,189.19,10109500,188.52,"January 06, 20",183.68,10109500.0,1.19,0.63298,0.0063298
2020-01-07,189.59,190.1,188.6,188.69,4392300,189.13,"January 07, 20",183.19,4392300.0,-0.9,-0.47471,-0.0047471
2020-01-08,189.49,192.5,188.8,191.92,5712000,191.07,"January 08, 20",186.33,5712000.0,2.43,1.28,0.0128
2020-01-09,193.0,193.92,192.52,193.25,6748000,193.23,"January 09, 20",187.62,6748000.0,0.25,0.12953,0.0012953
2020-01-10,193.5,194.57,193.11,193.77,6586400,193.82,"January 10, 20",188.12,6586400.0,0.27,0.13953,0.0013953
2020-01-13,194.44,195.6,194.28,195.33,11290500,195.07,"January 13, 20",189.64,11290500.0,0.89,0.45772,0.0045772
2020-01-14,196.74,196.95,195.14,196.05,6236500,196.05,"January 14, 20",190.34,6236500.0,-0.69,-0.35072,-0.0035072
2020-01-15,197.0,200.15,196.32,199.8,10831100,198.76,"January 15, 20",193.98,10831100.0,2.8,1.42,0.0142
2020-01-16,201.0,201.5,199.78,200.95,9983700,200.74,"January 16, 20",195.1,9983700.0,-0.05,-0.02487562,-0.0002487562
2020-01-17,201.76,204.75,199.98,204.7,12518900,203.14,"January 17, 20",198.74,12518900.0,2.94,1.46,0.0146
2020-01-21,204.13,208.39,203.8,207.29,14861700,206.49,"January 21, 20",201.25,14861700.0,3.16,1.55,0.0155
2020-01-22,207.51,210.13,207.29,207.9,8065000,208.44,"January 22, 20",201.84,8065000.0,0.39,0.18794,0.0018794
2020-01-23,207.9,208.4,205.3,206.52,8520800,206.74,"January 23, 20",200.5,8520800.0,-1.38,-0.66378,-0.0066378
2020-01-24,207.42,207.99,204.21,205.0,7812900,205.73,"January 24, 20",199.03,7812900.0,-2.42,-1.17,-0.0117
2020-01-27,200.0,203.33,199.1,201.69,7198900,201.37,"January 27, 20",195.81,7198900.0,1.69,0.845,0.00845
2020-01-28,202.39,203.84,201.78,202.85,7215700,202.82,"January 28, 20",196.94,7215700.0,0.46,0.22728,0.0022728
2020-01-29,204.3,205.92,202.51,204.86,7041700,204.43,"January 29, 20",198.89,7041700.0,0.56,0.27411,0.0027411
2020-01-30,204.0,208.5,203.32,208.21,8571900,206.68,"January 30, 20",202.14,8571900.0,4.21,2.06,0.0206
2020-01-31,201.49,203.98,198.26,198.97,16699600,200.4,"January 31, 20",193.17,16699600.0,-2.52,-1.25,-0.0125
2020-02-03,199.94,202.26,199.85,200.81,10885900,200.97,"February 03, 20",194.96,10885900.0,0.87,0.43513,0.0043513
