date,open,high,low,close,volume,dividends,stock_splits
2020-01-02,149.28,151.13,148.9,151.12,845100,0.0,0.0
2020-01-03,150.0,152.73,150.0,152.59,876900,0.0,0.0
2020-01-06,151.84,153.03,150.69,152.94,656200,0.0,0.0
2020-01-07,153.24,154.93,153.08,154.22,1514700,0.0,0.0
2020-01-08,154.48,156.23,153.96,155.64,773100,0.0,0.0
2020-01-09,156.67,157.96,156.65,157.14,758800,0.0,0.0
2020-01-10,157.11,157.82,156.39,157.32,844700,0.0,0.0
2020-01-13,157.34,158.14,156.88,158.02,549500,0.0,0.0
2020-01-14,157.65,157.93,156.54,156.88,617600,0.0,0.0
2020-01-15,157.34,159.14,157.21,158.65,824100,0.0,0.0
2020-01-16,159.3,160.89,158.97,160.56,628000,0.0,0.0
2020-01-17,160.86,161.59,160.07,160.55,549300,0.0,0.0
2020-01-21,159.66,162.24,159.26,161.3,648400,0.0,0.0
2020-01-22,162.43,164.05,162.43,163.59,790700,0.0,0.0
2020-01-23,163.13,165.29,162.18,165.1,708100,0.0,0.0
2020-01-24,165.4,165.95,164.13,165.3,486000,0.0,0.0
2020-01-27,163.31,164.91,161.82,163.95,640200,0.0,0.0
2020-01-28,164.15,165.5,163.88,164.81,758900,0.0,0.0
2020-01-29,165.0,165.37,163.93,164.18,529300,0.0,0.0
2020-01-30,163.25,164.81,162.98,164.71,476000,0.0,0.0
2020-01-31,164.42,164.74,162.0,162.47,621000,0.0,0.0
2020-02-03,163.03,166.01,163.03,165.22,649600,0.0,0.0
2020-02-04,166.8,168.71,166.38,168.13,931700,0.0,0.0
2020-02-05,169.5,169.9,167.58,168.56,1132400,0.0,0.0
2020-02-06,169.55,169.88,168.28,168.95,446700,0.0,0.0
2020-02-07,168.81,169.49,167.82,169.12,476300,0.0,0.0
2020-02-10,168.79,170.12,168.18,169.94,479100,0.0,0.0
2020-02-11,170.17,170.66,167.57,167.89,539500,0.0,0.0
2020-02-12,167.92,169.52,167.45,169.28,515800,0.0,0.0
2020-02-13,169.05,171.58,169.05,170.67,513700,0.0,0.0
2020-02-14,170.42,171.68,170.42,171.38,533600,0.0,0.0
2020-02-18,170.8,171.73,169.88,171.56,1120200,0.0,0.0
2020-02-19,165.48,170.74,163.0,169.74,1196600,0.0,0.0
2020-02-20,168.87,170.2,167.08,169.39,761300,0.0,0.0
2020-02-21,168.69,170.16,167.51,168.69,912000,0.0,0.0
2020-02-24,166.26,169.15,165.59,167.58,1096600,0.0,0.0
2020-02-25,168.09,168.92,162.54,162.82,983700,0.0,0.0
2020-02-26,164.29,165.96,162.61,163.53,903300,0.0,0.0
2020-02-27,161.97,162.91,155.79,155.79,1053500,0.0,0.0
2020-02-28,152.47,155.46,148.71,155.11,2168900,0.0,0.0
2020-03-02,154.92,163.28,154.35,163.13,1516200,0.0,0.0
2020-03-03,163.29,166.42,159.5,160.4,1231900,0.0,0.0
2020-03-04,162.22,169.86,161.31,169.18,987800,0.0,0.0
2020-03-05,163.88,166.7,162.95,164.97,1062900,0.0,0.0
2020-03-06,159.17,164.46,157.89,163.37,1214500,0.0,0.0
2020-03-09,150.63,156.66,145.15,147.92,2051200,0.0,0.0
2020-03-10,151.07,156.76,147.07,156.74,1486800,0.0,0.0
2020-03-11,152.17,155.18,148.57,151.68,1392000,0.0,0.0
2020-03-12,142.25,149.06,132.0,139.49,1788400,0.27,0.0
2020-03-13,145.29,147.99,133.6,145.61,1761700,0.0,0.0
2020-03-16,132.54,142.45,128.71,130.06,1402700,0.0,0.0
2020-03-17,131.95,148.61,130.84,144.71,1620800,0.0,0.0
2020-03-18,133.0,137.42,123.95,135.11,1720800,0.0,0.0
2020-03-19,135.3,144.98,131.79,136.48,1124600,0.0,0.0
2020-03-20,137.4,137.6,123.54,124.25,1509200,0.0,0.0
2020-03-23,125.73,125.76,116.61,121.18,1398700,0.0,0.0
2020-03-24,126.86,138.06,125.37,137.28,1300500,0.0,0.0
2020-03-25,134.61,138.9,128.0,134.3,1662900,0.0,0.0
2020-03-26,135.54,143.48,135.54,142.1,1248100,0.0,0.0
2020-03-27,139.1,143.47,136.98,137.77,1234300,0.0,0.0
2020-03-30,138.81,147.93,138.1,146.87,793900,0.0,0.0
2020-03-31,144.92,146.54,138.43,139.38,1422200,0.0,0.0
2020-04-01,134.22,142.49,133.5,140.78,1343500,0.0,0.0
2020-04-02,137.03,144.33,134.45,142.99,1044400,0.0,0.0
2020-04-03,141.68,143.29,138.17,141.65,815700,0.0,0.0
2020-04-06,146.2,148.81,144.88,147.74,1244000,0.0,0.0
2020-04-07,151.51,152.89,146.57,147.17,967200,0.0,0.0
2020-04-08,147.84,150.9,147.17,148.7,883800,0.0,0.0
2020-04-09,149.64,152.64,147.23,148.26,1076800,0.0,0.0
2020-04-13,146.15,148.0,142.46,144.16,704600,0.0,0.0
2020-04-14,147.88,150.85,146.81,150.3,1070200,0.0,0.0
2020-04-15,147.56,148.63,146.04,147.13,722300,0.0,0.0
2020-04-16,148.31,149.94,146.2,149.11,912400,0.0,0.0
2020-04-17,153.48,154.03,151.4,153.79,957800,0.0,0.0
2020-04-20,151.59,151.6,148.49,149.32,722100,0.0,0.0
2020-04-21,146.97,148.17,144.55,145.21,810300,0.0,0.0
2020-04-22,148.61,152.83,146.9,151.2,710200,0.0,0.0
2020-04-23,151.49,152.12,146.72,147.7,1082800,0.0,0.0
2020-04-24,149.15,149.15,146.63,148.54,975900,0.0,0.0
2020-04-27,151.07,152.42,149.18,151.8,797700,0.0,0.0
2020-04-28,159.3,159.99,151.49,151.79,672600,0.0,0.0
2020-04-29,154.05,154.82,151.61,153.07,856600,0.0,0.0
2020-04-30,152.17,153.29,150.47,152.83,1483100,0.0,0.0
2020-05-01,149.85,154.54,149.85,153.45,1036100,0.0,0.0
2020-05-04,152.3,155.48,151.38,154.46,779400,0.0,0.0
2020-05-05,154.91,159.15,154.68,157.49,965000,0.0,0.0
2020-05-06,160.0,161.74,154.5,155.18,880500,0.0,0.0
2020-05-07,156.17,160.25,156.17,158.27,956700,0.0,0.0
2020-05-08,160.11,161.66,158.2,159.57,636800,0.0,0.0
2020-05-11,158.2,161.5,157.85,160.71,673300,0.0,0.0
2020-05-12,160.18,161.3,156.58,156.6,808100,0.0,0.0
