date,open,high,low,close,volume,vwap,label,adj_close,unadjusted_volume,change,change_percent,change_over_time
2020-01-02,61.38,61.45,60.81,61.05,11447900,61.1,"January 02, 20",48.6,11447900.0,-0.33,-0.53763,-0.0053763
2020-01-03,60.59,60.79,60.07,60.4,13263200,60.42,"January 03, 20",48.08,13263200.0,-0.19,-0.31358,-0.0031358
2020-01-06,60.11,60.59,60.08,60.27,15094500,60.31,"January 06, 20",47.98,15094500.0,0.16,0.26618,0.0026618
2020-01-07,60.1,60.18,59.58,59.6,14293100,59.79,"January 07, 20",47.45,14293100.0,-0.5,-0.83195,-0.0083195
2020-01-08,59.67,60.1,59.63,59.71,15926500,59.81,"January 08, 20",47.54,15926500.0,0.04,0.06703536,0.0006703536
2020-01-09,58.89,59.4,58.8,58.85,20134600,59.02,"January 09, 20",47.34,20134600.0,-0.04,-0.06792325,-0.0006792325
2020-01-10,59.02,59.3,58.84,58.99,11786700,59.04,"January 10, 20",47.45,11786700.0,-0.03,-0.05083023,-0.0005083023
2020-01-13,59.02,59.37,58.78,59.15,14158400,59.1,"January 13, 20",47.58,14158400.0,0.13,0.22026,0.0022026
2020-01-14,59.0,59.13,58.76,59.04,12697100,58.98,"January 14, 20",47.49,12697100.0,0.04,0.06779661,0.0006779661
2020-01-15,59.25,59.42,58.87,59.1,10291300,59.13,"January 15, 20",47.54,10291300.0,-0.15,-0.25316,-0.0025316
2020-01-16,59.38,59.85,59.22,59.67,10689600,59.58,"January 16, 20",48.0,10689600.0,0.29,0.48838,0.0048838
2020-01-17,59.69,60.15,59.64,60.13,15615700,59.97,"January 17, 20",48.37,15615700.0,0.44,0.73714,0.0073714
2020-01-21,60.2,60.47,60.1,60.32,12857600,60.3,"January 21, 20",48.52,12857600.0,0.12,0.19934,0.0019934
2020-01-22,60.45,60.82,60.28,60.48,8847100,60.53,"January 22, 20",48.65,8847100.0,0.03,0.04962779,0.0004962779
2020-01-23,60.38,60.53,60.0,60.51,11109000,60.35,"January 23, 20",48.67,11109000.0,0.13,0.2153,0.002153
2020-01-24,60.5,60.66,60.11,60.28,10182800,60.35,"January 24, 20",48.49,10182800.0,-0.22,-0.36364,-0.0036364
2020-01-27,59.84,60.36,59.62,59.91,11482300,59.96,"January 27, 20",48.19,11482300.0,0.07,0.11698,0.0011698
2020-01-28,59.98,61.0,59.87,60.7,15367500,60.52,"January 28, 20",48.83,15367500.0,0.72,1.2,0.012
2020-01-29,60.85,60.92,59.44,59.53,13408900,59.96,"January 29, 20",47.89,13408900.0,-1.32,-2.17,-0.0217
2020-01-30,58.7,59.39,58.34,59.36,16719600,59.03,"January 30, 20",47.75,16719600.0,0.66,1.12,0.0112
2020-01-31,59.34,60.05,59.11,59.44,14283600,59.53,"January 31, 20",47.81,14283600.0,0.1,0.16852,0.0016852
2020-02-03,59.61,59.68,58.01,58.05,15566400,58.58,"February 03, 20",46.69,15566400.0,-1.56,-2.62,-0.0262
2020-02-04,58.07,58.57,57.65,58.29,13924600,58.17,"February 04, 20",46.89,13924600.0,0.22,0.37885,0.0037885
2020-02-05,58.53,59.19,58.42,59.13,10271900,58.91,"February 05, 20",47.56,10271900.0,0.6,1.03,0.0103
2020-02-06,59.2,59.67,59.06,59.44,10283700,59.39,"February 06, 20",47.81,10283700.0,0.24,0.40541,0.0040541
2020-02-07,59.66,60.15,59.54,59.94,9418100,59.88,"February 07, 20",48.21,9418100.0,0.28,0.46933,0.0046933
2020-02-10,59.93,60.24,59.77,60.24,8270200,60.08,"February 10, 20",48.46,8270200.0,0.31,0.51727,0.0051727
2020-02-11,60.19,60.35,58.26,58.69,22488200,59.1,"February 11, 20",47.21,22488200.0,-1.5,-2.49,-0.0249
2020-02-12,58.58,58.86,58.12,58.23,20938000,58.4,"February 12, 20",46.84,20938000.0,-0.35,-0.59747,-0.0059747
2020-02-13,58.37,58.83,57.95,58.65,19460100,58.48,"February 13, 20",47.18,19460100.0,0.28,0.4797,0.004797
2020-02-14,58.7,58.81,58.28,58.51,9138900,58.53,"February 14, 20",47.06,9138900.0,-0.19,-0.32368,-0.0032368
2020-02-18,58.76,58.76,57.81,57.91,12427300,58.16,"February 18, 20",46.58,12427300.0,-0.85,-1.45,-0.0145
2020-02-19,58.13,58.58,57.76,58.22,13642800,58.19,"February 19, 20",46.83,13642800.0,0.09,0.15483,0.0015483
2020-02-20,58.09,58.36,57.94,58.09,16748600,58.13,"February 20, 20",46.73,16748600.0,0.0,0.0,0.0
2020-02-21,57.91,58.25,57.8,58.2,15704300,58.08,"February 21, 20",46.82,15704300.0,0.29,0.50078,0.0050078
2020-02-24,58.17,58.69,57.98,57.99,18520900,58.22,"February 24, 20",46.65,18520900.0,-0.18,-0.30944,-0.0030944
2020-02-25,58.04,58.4,56.86,57.12,19384900,57.46,"February 25, 20",45.95,19384900.0,-0.92,-1.59,-0.0159
2020-02-26,57.38,57.87,56.9,57.14,16803600,57.3,"February 26, 20",45.96,16803600.0,-0.24,-0.41826,-0.0041826
2020-02-27,56.78,57.38,55.03,55.06,25907200,55.82,"February 27, 20",44.29,25907200.0,-1.72,-3.03,-0.0303
2020-02-28,53.74,54.18,52.18,54.16,45828300,53.51,"February 28, 20",43.57,45828300.0,0.42,0.78154,0.0078154
2020-03-02,55.16,57.54,54.88,57.32,30736200,56.58,"March 02, 20",46.11,30736200.0,2.16,3.92,0.0392
2020-03-03,57.21,58.05,55.22,55.7,27500200,56.32,"March 03, 20",44.8,27500200.0,-1.51,-2.64,-0.0264
2020-03-04,56.61,58.25,56.11,58.12,17626400,57.49,"March 04, 20",46.75,17626400.0,1.51,2.67,0.0267
2020-03-05,56.87,57.52,56.49,57.16,21249900,57.06,"March 05, 20",45.98,21249900.0,0.29,0.50993,0.0050993
2020-03-06,55.29,57.21,55.1,56.87,22510800,56.39,"March 06, 20",45.75,22510800.0,1.58,2.86,0.0286
2020-03-09,54.37,57.58,54.01,55.83,31862200,55.81,"March 09, 20",44.91,31862200.0,1.46,2.69,0.0269
2020-03-10,56.07,56.89,53.92,56.52,34330900,55.78,"March 10, 20",45.46,34330900.0,0.45,0.80257,0.0080257
2020-03-11,55.36,55.53,54.19,54.83,21147400,54.85,"March 11, 20",44.1,21147400.0,-0.53,-0.95737,-0.0095737
2020-03-12,51.95,54.0,50.75,51.2,45610600,51.98,"March 12, 20",41.18,45610600.0,-0.75,-1.44,-0.0144
2020-03-13,53.0,54.37,51.45,54.17,45744000,53.33,"March 13, 20",43.57,45744000.0,1.17,2.21,0.0221
2020-03-16,50.9,53.2,49.02,50.99,36990400,51.07,"March 16, 20",41.02,36990400.0,0.09,0.17682,0.0017682
2020-03-17,51.5,55.48,51.49,54.31,33898000,53.76,"March 17, 20",43.69,33898000.0,2.81,5.46,0.0546
2020-03-18,53.99,55.93,50.88,54.32,38417400,53.71,"March 18, 20",43.69,38417400.0,0.33,0.61122,0.0061122
2020-03-19,53.76,54.92,52.78,53.62,33024900,53.77,"March 19, 20",43.13,33024900.0,-0.14,-0.26042,-0.0026042
2020-03-20,52.72,53.04,50.71,51.8,46013800,51.85,"March 20, 20",41.67,46013800.0,-0.92,-1.75,-0.0175
2020-03-23,50.61,53.27,49.13,50.31,39225100,50.9,"March 23, 20",40.47,39225100.0,-0.3,-0.59277,-0.0059277
2020-03-24,51.96,51.96,49.18,49.99,40626900,50.38,"March 24, 20",40.21,40626900.0,-1.97,-3.79,-0.0379
2020-03-25,49.36,51.91,48.84,49.94,38551300,50.23,"March 25, 20",40.17,38551300.0,0.58,1.18,0.0118
2020-03-26,49.59,53.9,49.51,53.54,32610900,52.32,"March 26, 20",43.07,32610900.0,3.95,7.97,0.0797
2020-03-27,52.15,53.84,51.54,52.77,25363600,52.72,"March 27, 20",42.45,25363600.0,0.62,1.19,0.0119
2020-03-30,53.49,55.03,52.94,54.77,20660200,54.25,"March 30, 20",44.06,20660200.0,1.28,2.39,0.0239
2020-03-31,54.07,54.54,53.55,53.73,21251800,53.94,"March 31, 20",43.22,21251800.0,-0.34,-0.62881,-0.0062881
2020-04-01,52.5,53.45,52.16,52.92,18672600,52.84,"April 01, 20",42.57,18672600.0,0.42,0.8,0.008
2020-04-02,53.56,55.5,53.09,55.25,20159400,54.61,"April 02, 20",44.44,20159400.0,1.69,3.16,0.0316
2020-04-03,55.0,55.24,54.28,54.7,17612500,54.74,"April 03, 20",44.0,17612500.0,-0.3,-0.54545,-0.0054545
2020-04-06,55.77,56.94,54.98,56.7,20284400,56.21,"April 06, 20",45.61,20284400.0,0.93,1.67,0.0167
2020-04-07,57.04,57.88,56.41,56.98,21786000,57.09,"April 07, 20",45.83,21786000.0,-0.06,-0.10519,-0.0010519
