date,open,high,low,close,volume,dividends,stock_splits
2020-01-02,59.28,59.59,58.7,59.08,5700500,0.0,0.0
2020-01-03,58.54,59.35,58.18,59.08,4892300,0.0,0.0
2020-01-06,59.04,59.78,58.48,59.59,6003300,0.0,0.0
2020-01-07,59.22,59.48,58.62,59.29,4365700,0.0,0.0
2020-01-08,56.05,56.8,54.91,55.83,17431800,0.0,0.0
2020-01-09,55.79,56.09,54.62,54.68,8469600,0.0,0.0
2020-01-10,54.84,54.88,54.06,54.22,6688000,0.0,0.0
2020-01-13,54.2,54.66,53.98,54.06,5517800,0.0,0.0
2020-01-14,54.04,54.71,53.82,54.62,4466800,0.0,0.0
2020-01-15,54.54,54.7,54.08,54.43,3495600,0.0,0.0
2020-01-16,54.44,54.63,54.18,54.42,4974700,0.0,0.0
2020-01-17,54.69,54.79,54.32,54.41,5048300,0.0,0.0
2020-01-21,54.39,54.39,53.46,53.87,5940600,0.0,0.0
2020-01-22,53.73,54.04,53.4,53.42,3703800,0.0,0.0
2020-01-23,53.34,53.6,52.81,53.3,4994000,0.0,0.0
2020-01-24,53.32,53.37,51.89,52.04,6415400,0.0,0.0
2020-01-27,51.55,52.59,51.54,52.23,5108500,0.0,0.0
2020-01-28,52.45,52.98,52.18,52.78,4771000,0.0,0.0
2020-01-29,52.82,52.99,52.27,52.28,3509800,0.0,0.0
2020-01-30,52.04,52.13,51.18,51.95,3790900,0.0,0.0
2020-01-31,51.71,51.92,50.66,50.85,6532300,0.0,0.0
2020-02-03,51.04,51.49,50.92,50.95,5152500,0.0,0.0
2020-02-04,51.56,52.43,51.34,52.34,4911100,0.0,0.0
2020-02-05,52.85,53.65,52.5,52.98,5386600,0.0,0.0
2020-02-06,53.51,54.25,53.17,53.49,4399700,0.0,0.0
2020-02-07,53.28,53.69,52.98,53.24,3378200,0.0,0.0
2020-02-10,53.29,54.06,53.1,53.42,4326600,0.0,0.0
2020-02-11,53.54,53.56,52.85,52.99,4054100,0.0,0.0
2020-02-12,53.42,54.53,53.12,54.47,5362500,0.0,0.0
2020-02-13,54.31,54.47,53.45,53.57,3669500,0.0,0.0
2020-02-14,53.72,53.79,52.74,52.85,5153800,0.0,0.0
2020-02-18,52.41,52.7,51.73,51.86,4334400,0.46,0.0
2020-02-19,51.82,52.09,51.49,52.07,3279500,0.0,0.0
2020-02-20,52.07,52.34,51.5,51.87,3368400,0.0,0.0
