date,open,high,low,close,volume,dividends,stock_splits
2020-01-02,166.1,168.72,165.71,167.46,1503000,0.0,0.0
2020-01-03,165.0,168.86,164.96,168.44,1276300,0.0,0.0
2020-01-06,166.99,170.44,166.35,169.49,1623300,0.0,0.0
2020-01-07,169.51,173.22,168.82,172.95,2404100,0.0,0.0
2020-01-08,172.96,179.61,172.05,178.71,2819900,0.0,0.0
2020-01-09,179.26,180.99,177.27,179.48,3037000,0.0,0.0
2020-01-10,180.98,182.65,179.59,180.11,2006000,0.0,0.0
2020-01-13,180.92,182.58,180.48,181.92,1506800,0.0,0.0
2020-01-14,181.64,182.82,179.25,179.98,1212900,0.0,0.0
2020-01-15,180.73,181.19,178.4,179.18,2051900,0.0,0.0
2020-01-16,178.87,182.98,178.18,182.78,2059800,0.0,0.0
2020-01-17,183.0,183.8,180.42,181.06,1735500,0.0,0.0
2020-01-21,180.3,183.54,179.74,182.31,1232700,0.0,0.0
2020-01-22,183.06,184.59,182.28,182.41,1883800,0.0,0.0
2020-01-23,183.05,184.59,181.25,184.38,1693900,0.0,0.0
2020-01-24,185.0,188.3,184.52,186.07,1962900,0.0,0.0
2020-01-27,182.0,184.92,181.21,183.96,1228600,0.0,0.0
2020-01-28,184.62,187.33,184.62,186.68,1300400,0.0,0.0
2020-01-29,187.54,187.9,183.48,183.61,1310100,0.0,0.0
2020-01-30,183.5,189.35,183.01,188.15,1352400,0.0,0.0
2020-01-31,187.87,188.51,183.29,184.63,1094500,0.0,0.0
2020-02-03,185.6,189.28,184.29,188.57,1609400,0.0,0.0
2020-02-04,190.0,195.99,188.87,194.7,1832300,0.0,0.0
2020-02-05,197.0,197.87,187.7,188.47,1841700,0.0,0.0
2020-02-06,187.09,190.33,184.32,187.5,1376000,0.0,0.0
2020-02-07,190.07,193.78,188.01,192.08,1960500,0.0,0.0
2020-02-10,191.92,195.6,190.91,194.86,982800,0.0,0.0
2020-02-11,196.0,196.64,192.02,193.07,958700,0.0,0.0
