date,open,high,low,close,volume,vwap,label,adj_close,unadjusted_volume,change,change_percent,change_over_time
2020-01-02,118.86,119.89,118.7,118.94,6764900,119.18,"January 02, 20",111.67,6764900.0,0.08,0.06730607,0.0006730607
2020-01-03,118.27,118.79,117.59,117.89,5399200,118.09,"January 03, 20",110.68,5399200.0,-0.38,-0.3213,-0.003213
2020-01-06,117.4,118.09,116.77,117.65,6445500,117.5,"January 06, 20",110.46,6445500.0,0.25,0.21295,0.0021295
2020-01-07,117.26,117.52,116.2,116.56,6846900,116.76,"January 07, 20",109.44,6846900.0,-0.7,-0.59696,-0.0059696
2020-01-08,116.3,116.73,115.68,116.16,5875800,116.19,"January 08, 20",109.06,5875800.0,-0.14,-0.12038,-0.0012038
2020-01-09,116.15,117.37,116.08,117.36,5563700,116.94,"January 09, 20",110.19,5563700.0,1.21,1.04,0.0104
2020-01-10,117.24,117.34,115.98,116.38,6054800,116.57,"January 10, 20",109.27,6054800.0,-0.86,-0.73354,-0.0073354
2020-01-13,116.38,116.55,115.37,115.88,6112600,115.93,"January 13, 20",108.8,6112600.0,-0.5,-0.42963,-0.0042963
2020-01-14,115.47,116.21,115.13,116.18,6585800,115.84,"January 14, 20",109.08,6585800.0,0.71,0.61488,0.0061488
2020-01-15,114.63,115.87,114.52,115.28,7454200,115.22,"January 15, 20",108.23,7454200.0,0.65,0.56704,0.0056704
2020-01-16,115.5,115.93,115.28,115.9,5369400,115.7,"January 16, 20",108.82,5369400.0,0.4,0.34632,0.0034632
2020-01-17,116.05,116.3,114.64,114.96,10045000,115.3,"January 17, 20",107.93,10045000.0,-1.09,-0.93925,-0.0093925
2020-01-21,114.59,115.69,114.52,115.59,7353700,115.27,"January 21, 20",108.53,7353700.0,1.0,0.87268,0.0087268
2020-01-22,115.22,116.53,115.18,116.1,4926100,115.94,"January 22, 20",109.0,4926100.0,0.88,0.76376,0.0076376
2020-01-23,116.21,116.31,115.04,115.81,4305100,115.72,"January 23, 20",108.73,4305100.0,-0.4,-0.3442,-0.003442
2020-01-24,116.0,116.03,114.15,114.37,4383400,114.85,"January 24, 20",107.38,4383400.0,-1.63,-1.41,-0.0141
2020-01-27,113.19,116.23,112.68,115.86,7018400,114.92,"January 27, 20",108.78,7018400.0,2.67,2.36,0.0236
2020-01-28,115.98,116.9,115.95,116.6,5270200,116.48,"January 28, 20",109.47,5270200.0,0.62,0.53457,0.0053457
2020-01-29,116.56,117.12,115.89,115.89,3775500,116.3,"January 29, 20",108.81,3775500.0,-0.67,-0.57481,-0.0057481
2020-01-30,115.61,116.72,115.33,116.58,4581500,116.21,"January 30, 20",109.45,4581500.0,0.97,0.83903,0.0083903
2020-01-31,115.8,116.26,113.9,114.49,7775800,114.88,"January 31, 20",107.49,7775800.0,-1.31,-1.13,-0.0113
2020-02-03,114.9,115.39,114.1,114.27,4347100,114.59,"February 03, 20",107.29,4347100.0,-0.63,-0.5483,-0.005483
2020-02-04,115.24,116.24,114.89,115.27,5232200,115.47,"February 04, 20",108.22,5232200.0,0.03,0.02603263,0.0002603263
2020-02-05,115.6,116.95,114.85,116.81,5682900,116.2,"February 05, 20",109.67,5682900.0,1.21,1.05,0.0105
2020-02-06,116.83,117.23,116.06,116.31,5352900,116.53,"February 06, 20",109.2,5352900.0,-0.52,-0.44509,-0.0044509
2020-02-07,116.11,116.76,115.76,116.45,3689600,116.32,"February 07, 20",109.33,3689600.0,0.34,0.29283,0.0029283
2020-02-10,115.75,116.98,115.05,115.25,6144900,115.76,"February 10, 20",108.21,6144900.0,-0.5,-0.43197,-0.0043197
2020-02-11,115.43,115.5,114.44,115.4,5796800,115.11,"February 11, 20",108.35,5796800.0,-0.03,-0.02598978,-0.0002598978
2020-02-12,115.5,116.42,115.41,115.85,4735600,115.89,"February 12, 20",108.77,4735600.0,0.35,0.30303,0.0030303
2020-02-13,115.85,117.54,115.58,117.44,5333200,116.85,"February 13, 20",110.26,5333200.0,1.59,1.37,0.0137
2020-02-14,117.67,118.57,117.16,117.89,8130600,117.87,"February 14, 20",110.68,8130600.0,0.22,0.18696,0.0018696
2020-02-18,118.47,119.95,117.36,119.63,11513200,118.98,"February 18, 20",112.32,11513200.0,1.16,0.97915,0.0097915
2020-02-19,119.5,119.94,117.68,117.68,7187800,118.43,"February 19, 20",110.49,7187800.0,-1.82,-1.52,-0.0152
2020-02-20,117.21,118.11,116.86,117.69,5022900,117.55,"February 20, 20",110.5,5022900.0,0.48,0.40952,0.0040952
2020-02-21,117.44,118.75,117.31,118.58,6242100,118.21,"February 21, 20",111.33,6242100.0,1.14,0.97071,0.0097071
2020-02-24,117.46,118.46,115.95,116.32,6616000,116.91,"February 24, 20",109.21,6616000.0,-1.14,-0.97054,-0.0097054
2020-02-25,116.35,117.07,114.05,114.39,7764300,115.17,"February 25, 20",107.4,7764300.0,-1.96,-1.68,-0.0168
2020-02-26,114.7,115.17,113.65,113.78,6673300,114.2,"February 26, 20",106.83,6673300.0,-0.92,-0.80209,-0.0080209
2020-02-27,112.56,114.07,110.35,110.4,9492300,111.61,"February 27, 20",103.65,9492300.0,-2.16,-1.92,-0.0192
2020-02-28,107.69,108.52,104.37,107.68,17456400,106.86,"February 28, 20",101.1,17456400.0,-0.01,-0.00928591,-9.28591e-05
2020-03-02,107.6,116.4,107.29,115.88,17074200,113.19,"March 02, 20",108.8,17074200.0,8.28,7.7,0.077
2020-03-03,116.08,117.53,112.34,112.91,11113600,114.26,"March 03, 20",106.01,11113600.0,-3.17,-2.73,-0.0273
2020-03-04,114.24,116.84,113.47,116.77,8208400,115.69,"March 04, 20",109.63,8208400.0,2.53,2.21,0.0221
2020-03-05,114.4,117.25,113.91,115.92,8546100,115.69,"March 05, 20",108.83,8546100.0,1.52,1.33,0.0133
2020-03-06,113.87,117.91,113.01,117.23,9803700,116.05,"March 06, 20",110.06,9803700.0,3.36,2.95,0.0295
2020-03-09,113.82,120.63,112.73,117.16,19747800,116.84,"March 09, 20",110.0,19747800.0,3.34,2.93,0.0293
2020-03-10,118.1,120.68,114.92,119.79,12599100,118.46,"March 10, 20",112.47,12599100.0,1.69,1.43,0.0143
2020-03-11,117.51,119.03,112.8,114.43,10540000,115.42,"March 11, 20",107.44,10540000.0,-3.08,-2.62,-0.0262
2020-03-12,106.02,111.49,102.98,104.05,18774400,106.17,"March 12, 20",97.69,18774400.0,-1.97,-1.86,-0.0186
2020-03-13,108.24,114.59,103.88,114.1,14320700,110.86,"March 13, 20",107.13,14320700.0,5.86,5.41,0.0541
2020-03-16,105.2,111.33,102.0,106.76,12251300,106.7,"March 16, 20",100.23,12251300.0,1.56,1.48,0.0148
2020-03-17,112.77,119.27,110.46,119.26,17602000,116.33,"March 17, 20",111.97,17602000.0,6.49,5.76,0.0576
2020-03-18,115.0,128.08,114.5,122.58,25785300,121.72,"March 18, 20",115.09,25785300.0,7.58,6.59,0.0659
2020-03-19,124.46,127.0,117.63,119.45,19033500,121.36,"March 19, 20",112.65,19033500.0,-5.01,-4.03,-0.0403
2020-03-20,119.5,122.79,111.89,113.97,18474500,116.22,"March 20, 20",107.48,18474500.0,-5.53,-4.63,-0.0463
2020-03-23,114.17,117.54,112.21,114.28,13122000,114.68,"March 23, 20",107.77,13122000.0,0.11,0.09634755,0.0009634755
2020-03-24,115.87,117.37,111.31,115.03,14235000,114.57,"March 24, 20",108.48,14235000.0,-0.84,-0.72495,-0.0072495
2020-03-25,112.97,114.0,108.05,109.4,17762500,110.48,"March 25, 20",103.17,17762500.0,-3.57,-3.16,-0.0316
2020-03-26,109.4,110.87,106.85,109.82,19416900,109.18,"March 26, 20",103.56,19416900.0,0.42,0.38391,0.0038391
2020-03-27,110.11,112.28,108.6,109.58,12053500,110.15,"March 27, 20",103.34,12053500.0,-0.53,-0.48134,-0.0048134
